ID,Derece,Puan Türü,Üniversite Adı,Bölüm Adı,Fakülte / MYO,Öğretim Dili,Burs / Ücret Statüsü,Şehir,Ulaşım Açıklaması,Kişisel Puan (1-10),Notlar
1,Lisans (4Y),SAY,BURSA ULUDAĞ ÜNİVERSİTESİ,Bilgisayar ve Öğretim Teknolojileri Öğretmenliği,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),Bursa,Bursa yerleşkesi ulaşımı rahat.,5,-
2,Lisans (4Y),SAY,DOKUZ EYLÜL ÜNİVERSİTESİ,Bilgisayar ve Öğretim Teknolojileri Öğretmenliği,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),İzmir,İzmir yerleşkesi ulaşımı rahat.,7,-
3,Lisans (4Y),SAY,İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA,Bilgisayar ve Öğretim Teknolojileri Öğretmenliği,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),İstanbul,İstanbul yerleşkesi ulaşımı rahat.,7,-
4,Lisans (4Y),SAY,TRAKYA ÜNİVERSİTESİ,Yazılım Geliştirme,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),Edirne,Edirne yerleşkesi ulaşımı rahat.,4,-
5,Lisans (4Y),SAY,ZONGULDAK BÜLENT ECEVİT ÜNİVERSİTESİ,Yazılım Geliştirme,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),Zonguldak,Zonguldak yerleşkesi ulaşımı rahat.,4,-
6,Lisans (4Y),SAY,İSTANBUL ESENYURT ÜNİVERSİTESİ (Vakıf),Yazılım Geliştirme,Fakülte / Meslek Yüksekokulu,Türkçe,Vakıf (Burslu),İstanbul,İstanbul yerleşkesi ulaşımı rahat.,4,-
7,Lisans (4Y),SAY,İSTANBUL NİŞANTAŞI ÜNİVERSİTESİ (Vakıf),Yazılım Geliştirme,Fakülte / Meslek Yüksekokulu,Türkçe,Vakıf (Burslu),İstanbul,İstanbul yerleşkesi ulaşımı rahat.,4,-
8,Lisans (4Y),SAY,İSTANBUL RUMELİ ÜNİVERSİTESİ (Vakıf),Bilgisayar Bilimleri,Fakülte / Meslek Yüksekokulu,Türkçe,Vakıf (Burslu),İstanbul,İstanbul yerleşkesi ulaşımı rahat.,3,-
9,Lisans (4Y),SAY,DOKUZ EYLÜL ÜNİVERSİTESİ,Bilgisayar Bilimleri,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),İzmir,İzmir yerleşkesi ulaşımı rahat.,7,-
10,Lisans (4Y),SAY,BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ,Bilişim Sistemleri Mühendisliği,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),Burdur,Burdur yerleşkesi ulaşımı rahat.,4,-
